Serial Number,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other
2217116,OP,252,910649,BIRCH CREEK MERCANTILE LLC,BIRCH CREEK MERCANTILE,270 MAIN ST,Not Available,12465,12/4/19,11/30/21,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,Not Available,recorded music & licensed porch
1304867,OP,252,912462,AINSPH LLC,THE AINSWORTH,64 3RD AVE,Not Available,10003,11/1/19,10/31/21,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,CB3 Stips 10:00am to 2:00  daily Happy Hours allowed until 7:00pm,CB3 Stip ambient background music; conspicuously post stipulation   beside liquor license
1121382,HL,242,912795,STARWOOD HOTELS & RESORTS WORLDWIDE LLC,W TIMES SQUARE,1567 BROADWAY,46TH & 48TH,10036,11/15/19,11/30/21,HOTEL SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
1293845,A,122,914519,GBY DELI GROCERY INC,72ND GOURMET DELI SALAD & GROCERY,434 E 72ND ST,STORE 2,10021,4/8/19,5/31/22,GROCERY STORE SELLING BEER & CIDER,Not Available,Not Available
3152961,AX,128,907587,UNITED REFINING CO OF PA,KWIK FILL #M0396,1 WASHINGTON ST,Not Available,14731,8/10/18,10/31/21,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1267379,L,222,910474,GOLDENS BRIDGE FINE WINES LLC,Not Available,RTES 22 & 138,NORTH COUNTRY SHOPPING CENTER,10526,11/29/18,12/31/21,LIQUOR STORE SELLING LIQUOR AND WINE,Not Available,Internet sales
1292890,OP,252,922099,WO USA INC,ROKC,3452 BROADWAY,Not Available,10031,6/8/20,5/31/22,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,Not Available,Recorded Music
2201899,WS,308,911656,FOUNDRY VINEYARDS LLC,FOUNDRY VINEYARDS,735 N 13TH AVE,Not Available,99362,12/18/18,12/31/21,DIRECT WINE SHIPPER,Not Available,Not Available
1270950,A,122,918686,WOODSIDE DELI INC,Not Available,3845 WOODSIDE AVE,Not Available,11377,6/5/19,7/31/22,GROCERY STORE SELLING BEER CIDER,Not Available,Not Available
1291352,AX,122,911665,STOP ONE FOOD MARKET INC,Not Available,748 10TH AVE,Not Available,10019,12/18/18,1/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2201420,AX,128,908773,ACME MARKETS INC,ACME,829 RTE 82,Not Available,12533,9/25/18,10/31/21,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1107639,L,222,908846,BLANC ET ROUGE WINES & SPIRITS LTD,Not Available,81 WASHINGTON ST,Not Available,11201,10/1/18,9/30/21,LIQUOR STORE SELLING LIQUORS AND WINES,Not Available,Not Available
2187931,DD,207,918599,DARK ISLAND SPIRITS INC,DARK ISLAND SPIRITS,42 CHURCH ST,Not Available,13607,6/4/19,6/30/22,DISTILLER CLASS D (FARM DISTILLERY),Not Available,Not Available
2503599,L,222,910148,WEST CANADA INDUSTRIES INC,BARNEVELD LIQUOR STORE,ROUTE 12  MAPLEDALE PLAZA,Not Available,13304,11/19/18,11/30/21,LIQUOR STORE SELLING WINE AND LIQUOR,Not Available,Not Available
2123339,OP,252,924477,HOLIDAY MOUNTAIN FUN PARK INC,HOLIDAY MOUNTAIN,99 HOLIDAY MOUNTAIN ROAD,FALLS ROAD AND SULLIVAN ROAD,12701,7/28/20,7/31/22,RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,Not Available,Juke Box
